Function and Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate,2021 estimate
050 National Defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051 Department of Defense-Military:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306 Other natural resources,916,243,"1,080","1,206","1,357","1,395","1,494","1,583","1,547","1,622","1,934","1,761","1,770","1,852","2,005","2,077","2,309","2,571","2,542","2,933","2,978","2,814","2,822","2,885","3,314","3,397","4,067","4,401","4,505","4,853","5,158","5,382","5,619","5,758","7,071","6,629","6,186","6,392","6,989","6,877","7,420","7,736","8,015","8,067","8,227","8,290","8,503"
"Total, Natural Resources and Environment","6,055","1,773","9,489","13,651","13,251","13,096","11,171","11,263","13,297","12,276","13,332","11,713","14,570","15,370","16,973","18,121","19,216","21,266","21,621","22,578","20,919","21,492","22,923","24,344","24,403","25,003","28,957","31,098","31,771","32,845","33,000","38,063","33,732","37,156","57,392","39,657","35,356","36,959","41,038","37,721","35,675","41,141","42,167","43,114","43,710","44,142","44,850"
350 Agriculture:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351 Farm income stabilization,"3,833",463,"2,601","4,977","13,294","8,894","11,864","22,571","33,440","9,895","25,512","28,015","23,344","16,267","18,878","12,144","14,564","19,486","16,299","14,145","5,779","6,893","8,584","9,842","21,026","30,224","24,988","19,494","20,026","28,426","24,631","20,887","18,299","12,835","19,155","14,227","17,003","16,217","23,144","19,556","11,186","28,323","20,063","15,907","14,793","16,740","18,229"
352 Agricultural research and services,927,234,"1,028","1,161","1,335","1,333","1,473","1,505","1,607","1,753","1,818","1,741","1,910","1,973","2,006","2,117","2,379","2,607","2,540","2,666","2,650","2,602","2,724","2,740","2,907","3,304","3,898","4,064","4,611","4,303","4,604","4,737","4,485","4,614","4,981","5,620","4,507","4,643","4,292","4,905","5,756","5,066","5,422","5,589","5,574","5,682","5,786"
"Total, Agriculture","4,760",697,"3,629","6,139","14,630","10,227","13,336","24,075","35,048","11,648","27,330","29,756","25,254","18,241","20,884","14,261","16,943","22,093","18,838","16,811","8,429","9,495","11,308","12,582","23,933","33,528","28,886","23,558","24,637","32,729","29,235","25,624","22,784","17,449","24,136","19,847","21,510","20,860","27,436","24,461","16,942","33,389","25,485","21,496","20,367","22,422","24,015"
370 Commerce and Housing Credit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371 Mortgage credit,"9,737",468,"5,149","5,338","6,409","9,962","9,208","9,188","7,227","8,349","6,881","3,666","3,449","8,361","6,614","9,847","7,816","4,514","2,302","1,486","1,350","1,017",148,"-1,465",792,"1,000","1,937",-384,-286,17,-490,207,"-2,629","198,423","197,364","-22,500","-5,043","-28,078","-38,596","-76,003","-22,592","-14,574","-22,260","-21,309","-19,294","-18,797","-17,610"
372 Postal service,"1,708",934,"2,266","1,787","1,785","1,677","1,343",707,989,"1,798","2,639","2,504","2,944","1,458","2,046","3,573","3,812","2,709","2,400","2,863","2,684","3,563","3,851","6,445","5,636","3,812","4,332","3,754","5,462","2,117","1,573","3,797",645,"4,186","5,296",-681,"1,097","2,329",74,75,100,286,"-2,452","-2,164","-2,405","-2,140","-2,273"
(On-budget),"1,708",934,"2,266","1,787","1,785","1,677","1,343",707,789,879,"1,209",716,650,517,436,490,511,511,161,130,130,122,126,86,29,100,268,683,76,60,568,104,"-8,254","-5,491","-1,282","-5,381",101,74,74,78,100,429,"-2,729","-2,446","-2,693","-2,434","-2,572"
(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,200,919,"1,430","1,788","2,294",941,"1,610","3,083","3,301","2,198","2,239","2,732","2,554","3,441","3,725","6,359","5,607","3,712","4,064","3,071","5,386","2,057","1,005","3,693","8,899","9,677","6,578","4,700",996,"2,255",..........,-3,..........,-143,277,282,288,294,299
373 Deposit insurance,..........,..........,..........,-10,..........,"1,200",15,36,..........,"1,081",200,"3,000","2,699","10,835","51,020","45,624","72,789","36,961","2,462","19,520",859,11,-25,-33,1,..........,-125,-4,-60,1,423,401,406,"1,222","23,449","-8,255","-6,600",51,183,1,2,"1,260","1,801","2,930","4,130","5,400","6,726"
376 Other advancement of commerce,"1,082",174,"1,403","1,643","1,758","2,495","2,187","1,837","1,955","2,078","2,496","1,958","2,045","2,411","2,745","3,946","2,926","3,412","3,615","3,465","3,535","3,471","4,083","9,376","7,916","10,617","6,194","7,874","9,731","12,000","12,721","9,896","11,612","14,402","225,560","-87,556","-43,664","38,104","1,834","8,269","20,298","16,190","25,041","20,927","20,653","24,229","17,195"
